"","rec","Part","Task","RT","Acc","Cond"
"505",505,3,"Stroop","1.6932",1,"0"
"506",506,3,"Stroop","1.6575",1,"1"
"507",507,3,"Stroop","2.0957",1,"0"
"508",508,3,"Stroop","3.4388",1,"1"
"509",509,3,"Stroop","2.5402",0,"0"
"510",510,3,"Stroop","2.4505",1,"0"
"511",511,3,"Stroop","1.8835",1,"0"
"512",512,3,"Stroop","1.7495",1,"0"
"513",513,3,"Stroop","2.9672",1,"0"
"514",514,3,"Stroop","4.6838",1,"0"
"515",515,3,"Stroop","1.7502",1,"0"
"516",516,3,"Stroop","1.1000",1,"0"
"517",517,3,"Stroop","0.6832",1,"0"
"518",518,3,"Stroop","0.7900",1,"1"
"519",519,3,"Stroop","1.4775",1,"0"
"520",520,3,"Stroop","1.9208",1,"0"
"521",521,3,"Stroop","0.5844",1,"0"
"522",522,3,"Stroop","2.8713",1,"1"
"523",523,3,"Stroop","2.2340",1,"0"
"524",524,3,"Stroop","1.2663",0,"0"
"525",525,3,"Stroop","0.7832",1,"0"
"526",526,3,"Stroop","1.1837",0,"0"
"527",527,3,"Stroop","1.9722",1,"1"
"528",528,3,"Stroop","1.9330",1,"1"
"529",529,3,"Posner","0.619499999999903",1,"neutral"
"530",530,3,"Posner","0.628899999856912",0,"invalid"
"531",531,3,"Posner","0.346000000000004",1,"valid"
"532",532,3,"Posner","0.495099999904596",1,"neutral"
"533",533,3,"Posner","0.39520000004768",1,"valid"
"534",534,3,"Posner","0.703700000047775",1,"valid"
"535",535,3,"Posner","0.466599999904588",0,"invalid"
"536",536,3,"Posner","0.782600000143134",1,"valid"
"537",537,3,"Posner","0.644999999999982",1,"valid"
"538",538,3,"Posner","0.566300000190722",1,"valid"
"539",539,3,"Posner","0.549900000095363",1,"invalid"
"540",540,3,"Posner","0.521700000047645",1,"neutral"
